Textbox16,ACTUAL_SHIP_DATE_TIME,SHIPPING_LOAD_NUM,CUSTOMER,store,ERP_order,AISLE,PARENT_CONTAINER_ID,item,ITEM_DESC,coef,pck,pcs,total_piece,total_kg,LOT
386,16-Jul-26,1480118,48448,PYN,CR07057734334,27,00004000000052589186,0000000153820_1,ABC MIE REBUS SUP TOMAT PEDAS 70G_1C40P,40,0,5,5,0,09022027
387,16-Jul-26,1480118,48448,PYN,CR07057734334,27,00004000000052589193,0000000153838_1,CAP 3 AYAM PACKING MERAH 200GR_1C20P,20,0,2,2,0,12022027
388,16-Jul-26,1480118,48448,PYN,CR07057734334,27,00004000000052589193,0000000153845_1,CAP 3 AYAM PACKING KUNING 200GR_1C20P,20,0,2,2,0,23122026
389,16-Jul-26,1480118,48448,PYN,CR07057734334,31,00004000000052589254,0000000153861_1,INDOMIE EMPAL GENTONG 74 G_1C40P,40,1,0,40,0,15122026
390,16-Jul-26,1480118,48448,PYN,CR07057734334,21,00004000000052589063,0000000154067_1,MAX CREAMER 500G_1C24P,24,0,1,1,0,01102027
391,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589131,0000000154090_1,ABC SAMBAL ASLI 130ML_1C48P,48,0,1,1,0,03052027
392,16-Jul-26,1480118,48448,PYN,CR07057734334,22,00004000000052589087,0000000154100_1,BANGO KECAP MANIS  BIA 275ML_385G_1C24P_20066269,24,0,2,2,0,04062028
393,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000154128_1,MASAKO AYAM 6 X 8.5 GR_1C120P,120,0,8,8,0,09042027
394,16-Jul-26,1480118,48448,PYN,CR07057734334,41,00004000000052589360,0000000154144_1,ENERGEN CHOCOLATE BAG 10X35G_1C12P,12,0,1,1,0,24022027
395,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000154338_1,PROCOLD FLU 6S_1B24P,1152,0,1,1,0,01022028
396,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000154351_1,PANADOL EXTRA 10S_1B10P,216,0,1,1,0,01122028
397,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000154406_1,LANG GPU MINYAK URUT 60ML,72,0,1,1,0,01052031
398,16-Jul-26,1480118,48448,PYN,CR07057734334,33,00004000000052589278,0000000154414_1,MARJAN BOUDOIN COCOPANDAN 460ML_1C12P,12,0,1,1,0,12122031
399,16-Jul-26,1480118,48448,PYN,CR07057734334,23,00004000000052589094,0000000154537_1,MAX TEA TARIKH 5S_1C24P,24,0,1,1,0,10102027
400,16-Jul-26,1480118,48448,PYN,CR07057734334,13,00004000000052588981,0000000154771_1,OMG UV BARRIER SUNSCREEN SPF50 25 ML,88,0,1,1,0,08062029
401,16-Jul-26,1480118,48448,PYN,CR07057734334,18,00004000000052589032,0000000154886_1,SIMBA BAG CHOCO CHIPS 45G_1C30P,30,0,2,2,0,17042027
402,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589148,0000000154935_1,TROPICANA SLIM SWEET DIAB 25X2.5GR_1C12P,12,0,1,1,0,29052029
403,16-Jul-26,1480118,48448,PYN,CR07057734334,40,00004000000052589339,0000000155157_1,CIMORY YOGHURT DRINK STRAWBERRY 240ML C24,24,0,6,6,0,21102026
404,16-Jul-26,1480118,48448,PYN,CR07057734334,11,00004000000052588950,0000000155575_1,WIPOL KARBOL CEMARA BTL 730GR_1C12P_67715235,12,0,1,1,0,22062028
405,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000155593_1,VIVA FACE TONIC BENGKUANG 100ML _1C36P,36,0,1,1,0,01062029
406,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000156303_1,GARNIER FF LIGHT COMPLETE 50ML _1C24P,24,0,1,1,0,01032029
407,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000156339_1,OVALE WHITENING 100,36,0,1,1,0,01042029
408,16-Jul-26,1480118,48448,PYN,CR07057734334,16,00004000000052589018,0000000156427_1,GARUDA KACANG KULIT 160GR_1C40P,40,0,3,3,0,07052027
409,16-Jul-26,1480118,48448,PYN,CR07057734334,16,00004000000052589018,0000000156451_1,GARUDA KACANG ATOM 95GR_1C60P,60,0,6,6,0,12012027
410,16-Jul-26,1480118,48448,PYN,CR07057734334,17,00004000000052589025,0000000156465_1,MONDE SNACK GOLD 60 GR_1C30P,30,0,5,5,0,15062027
411,16-Jul-26,1480118,48448,PYN,CR07057734334,23,00004000000052589100,0000000156930_1,WONG COCO ICE BON BON 5'S 80GR (1C=24),24,0,2,2,0,28072027
412,16-Jul-26,1480118,48448,PYN,CR07057734334,41,00004000000052589353,0000000156947_1,GOOD TIME MINI DOUBLE CHOC 50G_1C36P,36,0,2,2,0,12062027
413,16-Jul-26,1480118,48448,PYN,CR07057734334,09,00004000000052588936,0000000157230_1,PASTI HEMAT TRAVEL PACK 70S BANDED_1C64P,64,0,3,3,0,08042029
414,16-Jul-26,1480118,48448,PYN,CR07057734334,22,00004000000052589087,0000000157478_1,ABC KECAP MANIS POUCH 62G_1C48P,48,0,2,2,0,01022028
415,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000157479_1,ABC KECAP MANIS POUCH 250G_1C24P,24,0,1,1,0,29022028
416,16-Jul-26,1480118,48448,PYN,CR07057734334,26,00004000000052589179,0000000157532_1,OATSIDE BARISTA BLEND _STR  200ML_1C24P,24,0,4,4,0,30062027
417,16-Jul-26,1480118,48448,PYN,CR07057734334,28,00004000000052589209,0000000157533_1,OATSIDE CHOCOLATE _STR  200ML_1C24P,24,0,10,10,0,04062027
418,16-Jul-26,1480118,48448,PYN,CR07057734334,21,00004000000052589063,0000000157840_1,TUNGGAL MARIE TUTUNG 250GR_1C20P,20,0,2,2,0,12062027
419,16-Jul-26,1480118,48448,PYN,CR07057734334,23,00004000000052589100,0000000158722_1,WONG COCO PUDDING MANGO 120GR (C36),36,0,3,3,0,26062027
420,16-Jul-26,1480118,48448,PYN,CR07057734334,16,00004000000052589018,0000000158771_1,TARO POTATO BBQ 32GR_1C36P,36,0,3,3,0,20042027
421,16-Jul-26,1480118,48448,PYN,CR07057734334,18,00004000000052589032,0000000158783_1,TARO SEAWEED 32GR_1C36P,36,0,3,3,0,25062027
422,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589148,0000000158975_1,BISKUAT BOLU RASA COKLAT 16.6G_1C12B12P,144,0,12,12,0,09022027
423,16-Jul-26,1480118,48448,PYN,CR07057734334,11,00004000000052588950,0000000159276_1,SO KLIN LANTAI EUCALYPTUS MINT PCH 700ML,12,0,1,1,0,01072028
424,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589131,0000000160378_1,ABC TOMAT BOTOL 135 ML_1C48P,48,0,1,1,0,25052027
425,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589155,0000000161089_1,YUPI NEON STIX 45GR_1C72P,72,0,3,3,0,04052028
426,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589162,0000000161102_1,YUPI HP BEAR DAY 45GR_1C72P,72,0,3,3,0,02022028
427,16-Jul-26,1480118,48448,PYN,CR07057734334,28,00004000000052589216,0000000161609_1,ENERGEN CHOCO SC 5X35G_1C32P,32,0,16,16,0,03042027
428,16-Jul-26,1480118,48448,PYN,CR07057734334,03,00004000000052588875,0000000161619_1,JOHNSON LOTION MILK RICE 100ML,48,0,1,1,0,02042029
429,16-Jul-26,1480118,48448,PYN,CR07057734334,26,00004000000052589179,0000000162895_1,ULTRA MIMI VANILLA 125 ML_1C40P,40,0,5,5,0,24032027
430,16-Jul-26,1480118,48448,PYN,CR07057734334,41,00004000000052589353,0000000163676_1,RICHOCO WAFER KREM COK KEJU 75G _1C36P,36,0,2,2,0,07052027
